order_id,restaurant_id,customer_zone,distance_km,hour,day_of_week,is_weekend,prep_time_min,traffic_factor,delivery_min
1,1,C,8.06,1,0,0,7,0.91,44.5
2,5,D,8.49,3,0,0,7,0.86,40.7
3,5,E,0.0,15,0,0,8,1.03,15.9
4,4,E,8.49,8,0,0,12,1.25,57.5
5,2,C,4.24,18,0,0,10,0.93,35.5
6,3,D,5.39,4,0,0,5,0.94,30.7
7,3,D,5.39,20,0,0,9,0.88,37.4
8,1,E,8.0,14,0,0,12,0.94,46.4
9,1,B,4.12,1,0,0,12,0.92,30.7
10,2,D,5.39,21,0,0,10,0.96,39.5
11,2,B,0.0,11,0,0,13,0.92,22.6
12,1,B,4.12,15,0,0,10,1.03,31.1
13,4,E,8.49,9,0,0,11,1.19,60.3
14,1,A,0.0,8,0,0,12,1.01,16.9
15,2,E,4.12,21,0,0,13,0.93,35.9
16,4,D,0.0,21,0,0,11,0.92,15.7
17,5,E,0.0,14,0,0,10,1.07,15.8
18,2,B,0.0,23,0,0,12,0.97,20.3
19,1,B,4.12,6,0,0,12,1.02,36.0
20,4,D,0.0,11,0,0,14,0.91,20.9
21,1,A,0.0,18,0,0,11,1.29,19.3
22,3,D,5.39,4,0,0,6,0.96,36.4
23,3,B,4.24,22,0,0,9,1.08,36.4
24,3,E,4.12,20,0,0,9,0.9,29.4
25,2,E,4.12,14,0,0,8,1.0,30.9
26,1,C,8.06,22,0,0,7,0.86,43.9
27,1,D,6.32,3,0,0,12,0.87,42.3
28,2,D,5.39,5,0,0,12,0.89,37.9
29,5,B,4.12,12,0,0,11,1.04,36.0
30,3,C,0.0,12,0,0,8,1.07,14.2
31,2,C,4.24,8,0,0,8,1.14,31.9
32,2,A,4.12,0,0,0,9,0.87,26.6
33,3,B,4.24,3,0,0,7,1.02,28.8
34,2,E,4.12,18,0,0,12,1.09,38.5
35,4,A,6.32,8,0,0,15,1.07,48.0
36,4,A,6.32,21,0,0,15,1.01,48.1
37,1,C,8.06,12,0,0,12,1.07,51.2
38,2,B,0.0,14,0,0,11,0.9,17.2
39,1,E,8.0,12,0,0,6,0.86,43.5
40,1,B,4.12,22,0,0,7,0.95,29.0
41,4,B,5.39,21,0,0,13,0.85,37.1
42,4,E,8.49,10,0,0,15,1.03,54.1
43,3,A,8.06,8,0,0,9,1.22,51.8
44,3,E,4.12,2,0,0,8,0.98,33.1
45,2,E,4.12,2,0,0,8,1.06,28.9
46,1,B,4.12,18,0,0,9,0.91,33.2
47,2,A,4.12,14,0,0,12,0.87,33.9
48,5,C,4.12,13,0,0,8,1.02,30.0
49,3,C,0.0,12,0,0,8,0.93,16.3
50,1,E,8.0,0,0,0,10,1.1,48.7
51,2,B,0.0,13,0,0,10,1.07,19.2
52,3,D,5.39,10,0,0,11,0.99,37.5
53,5,E,0.0,0,0,0,9,1.08,12.7
54,2,A,4.12,9,0,0,13,1.13,36.5
55,5,C,4.12,8,0,0,8,1.19,36.6
56,5,A,8.0,13,0,0,7,1.01,48.1
57,1,B,4.12,0,0,0,11,1.09,33.1
58,4,D,0.0,14,0,0,14,0.85,17.5
59,2,C,4.24,14,0,0,12,0.99,34.8
60,1,A,0.0,10,0,0,8,0.9,12.7
61,1,E,8.0,11,1,0,12,0.95,49.7
62,2,B,0.0,22,1,0,14,0.89,22.6
63,2,A,4.12,21,1,0,9,1.03,31.3
64,4,B,5.39,20,1,0,12,0.89,39.1
65,4,D,0.0,21,1,0,11,0.9,20.4
66,3,B,4.24,10,1,0,6,0.86,24.9
67,3,A,8.06,10,1,0,11,0.92,48.2
68,4,E,8.49,18,1,0,12,1.32,60.6
69,3,C,0.0,7,1,0,5,0.88,11.0
70,3,E,4.12,12,1,0,5,0.95,27.7
71,3,D,5.39,1,1,0,5,0.98,34.8
72,2,A,4.12,11,1,0,13,1.08,38.2
73,1,C,8.06,18,1,0,10,1.0,48.1
74,4,E,8.49,18,1,0,11,0.95,50.9
75,4,B,5.39,18,1,0,14,1.13,44.2
76,1,B,4.12,10,1,0,9,1.05,33.6
77,3,D,5.39,13,1,0,10,0.9,35.7
78,2,C,4.24,17,1,0,12,1.18,39.3
79,1,B,4.12,20,1,0,11,0.93,35.0
80,2,B,0.0,1,1,0,11,1.0,19.4
81,4,E,8.49,12,1,0,11,1.03,51.7
82,4,A,6.32,9,1,0,16,1.28,57.6
83,4,E,8.49,8,1,0,13,0.88,47.6
84,1,D,6.32,12,1,0,11,0.98,42.7
85,3,D,5.39,22,1,0,9,1.05,40.9
86,4,E,8.49,20,1,0,13,1.07,57.5
87,4,B,5.39,12,1,0,16,1.01,46.1
88,5,B,4.12,13,1,0,9,0.96,32.8
89,2,C,4.24,9,1,0,12,0.89,31.2
90,4,B,5.39,18,1,0,10,1.06,38.2
91,4,B,5.39,12,1,0,16,0.96,46.0
92,5,A,8.0,22,1,0,13,1.07,54.3
93,4,C,5.39,0,1,0,12,1.04,43.4
94,4,E,8.49,14,1,0,16,1.0,54.5
95,2,D,5.39,9,1,0,8,1.04,38.1
96,4,D,0.0,18,1,0,11,1.34,17.7
97,4,A,6.32,14,1,0,10,1.01,39.5
98,4,C,5.39,7,1,0,13,0.93,39.2
99,3,D,5.39,19,1,0,7,1.23,42.3
100,3,D,5.39,20,1,0,5,1.04,30.8
101,3,A,8.06,8,1,0,11,1.33,57.2
102,1,B,4.12,22,1,0,12,0.86,30.2
103,2,A,4.12,13,1,0,12,1.09,36.2
104,3,B,4.24,19,1,0,9,1.15,36.7
105,1,B,4.12,19,1,0,8,0.9,26.0
106,3,D,5.39,14,1,0,8,1.09,35.9
107,5,B,4.12,18,1,0,7,1.2,31.9
108,5,E,0.0,20,1,0,13,0.86,19.7
109,3,C,0.0,2,1,0,5,1.06,13.8
110,1,C,8.06,12,1,0,11,1.07,51.7
111,2,E,4.12,12,1,0,13,0.92,36.8
112,5,D,8.49,19,1,0,10,1.26,59.9
113,3,A,8.06,20,1,0,7,1.07,46.2
114,4,D,0.0,14,1,0,12,0.86,21.0
115,2,C,4.24,13,1,0,14,0.91,34.4
116,5,C,4.12,18,1,0,11,0.86,34.8
117,1,D,6.32,9,1,0,9,1.13,42.2
118,4,D,0.0,16,1,0,13,1.05,16.7
119,2,B,0.0,12,1,0,10,1.02,15.6
120,5,D,8.49,14,1,0,12,0.99,51.1
121,4,C,5.39,9,2,0,11,0.91,35.0
122,1,B,4.12,19,2,0,7,0.96,29.2
123,5,E,0.0,22,2,0,11,0.92,14.7
124,2,C,4.24,10,2,0,9,0.93,32.7
125,2,A,4.12,9,2,0,12,1.0,38.1
126,4,A,6.32,4,2,0,14,0.92,43.6
127,3,A,8.06,7,2,0,7,1.09,48.5
128,1,A,0.0,12,2,0,10,1.01,13.4
129,2,C,4.24,20,2,0,8,1.1,30.5
130,4,E,8.49,15,2,0,11,1.04,52.0
131,4,E,8.49,10,2,0,13,0.93,51.9
132,5,A,8.0,22,2,0,13,0.9,46.3
133,1,B,4.12,6,2,0,10,0.87,27.4
134,4,D,0.0,18,2,0,12,0.87,17.0
135,3,D,5.39,18,2,0,5,1.19,40.1
136,5,B,4.12,17,2,0,10,0.91,29.6
137,2,B,0.0,21,2,0,8,0.86,16.5
138,5,E,0.0,19,2,0,9,1.07,15.3
139,3,C,0.0,18,2,0,9,1.12,15.1
140,5,D,8.49,1,2,0,12,0.93,48.3
141,1,E,8.0,8,2,0,10,1.33,62.6
142,3,B,4.24,14,2,0,8,0.98,30.7
143,3,E,4.12,7,2,0,8,1.01,31.1
144,1,D,6.32,13,2,0,8,0.93,35.2
145,2,D,5.39,11,2,0,10,1.02,37.8
146,5,A,8.0,1,2,0,9,0.91,41.9
147,4,A,6.32,21,2,0,15,1.07,48.3
148,1,C,8.06,8,2,0,10,1.23,57.0
149,1,E,8.0,8,2,0,7,1.31,55.0
150,4,E,8.49,5,2,0,16,0.91,51.0
151,5,D,8.49,0,2,0,7,0.91,46.8
152,1,A,0.0,12,2,0,11,1.06,17.5
153,3,C,0.0,13,2,0,8,1.06,17.9
154,2,B,0.0,12,2,0,11,0.9,18.2
155,2,C,4.24,21,2,0,14,1.05,37.7
156,5,A,8.0,9,2,0,9,1.21,56.6
157,5,D,8.49,23,2,0,13,0.89,50.0
158,3,E,4.12,11,2,0,8,0.96,29.1
159,2,B,0.0,23,2,0,12,0.95,21.0
160,4,D,0.0,1,2,0,15,1.08,20.7
161,2,A,4.12,13,2,0,9,0.98,32.3
162,1,D,6.32,21,2,0,6,0.98,37.0
163,2,B,0.0,12,2,0,8,0.97,17.8
164,3,D,5.39,16,2,0,10,0.87,34.1
165,5,C,4.12,11,2,0,12,1.03,37.3
166,5,A,8.0,1,2,0,8,1.01,49.8
167,2,D,5.39,19,2,0,8,1.23,42.4
168,1,C,8.06,12,2,0,6,0.86,42.3
169,3,D,5.39,11,2,0,6,0.91,31.5
170,2,A,4.12,7,2,0,12,1.07,37.0
171,2,E,4.12,13,2,0,9,0.91,31.5
172,4,A,6.32,9,2,0,16,1.08,48.3
173,5,D,8.49,6,2,0,9,1.1,51.5
174,4,D,0.0,18,2,0,16,1.0,26.0
175,4,D,0.0,4,2,0,14,0.94,19.1
176,3,D,5.39,0,2,0,7,0.85,34.4
177,1,D,6.32,21,2,0,12,1.08,44.3
178,2,C,4.24,15,2,0,9,1.01,33.5
179,2,A,4.12,16,2,0,10,1.05,30.5
180,3,A,8.06,19,2,0,7,1.01,45.5
181,2,E,4.12,5,3,0,10,0.98,35.5
182,2,D,5.39,9,3,0,14,1.0,44.7
183,1,A,0.0,13,3,0,7,1.04,11.6
184,4,E,8.49,22,3,0,12,0.87,47.3
185,3,D,5.39,14,3,0,7,1.02,36.7
186,5,C,4.12,11,3,0,7,1.02,30.1
187,5,E,0.0,21,3,0,9,1.08,13.5
188,1,D,6.32,16,3,0,11,0.93,40.4
189,2,A,4.12,1,3,0,10,1.1,31.9
190,2,B,0.0,21,3,0,11,0.96,18.7
191,5,B,4.12,12,3,0,10,1.01,35.5
192,5,C,4.12,12,3,0,7,1.02,28.3
193,4,C,5.39,22,3,0,10,1.1,39.3
194,3,C,0.0,2,3,0,6,1.09,15.6
195,4,B,5.39,3,3,0,15,1.01,46.6
196,1,B,4.12,19,3,0,7,1.24,31.9
197,5,B,4.12,8,3,0,13,1.28,39.4
198,2,E,4.12,19,3,0,8,0.99,34.2
199,2,B,0.0,14,3,0,8,1.02,11.2
200,1,B,4.12,11,3,0,10,0.93,29.5
201,1,D,6.32,5,3,0,10,0.88,35.7
202,4,E,8.49,19,3,0,14,0.9,51.1
203,5,E,0.0,1,3,0,9,0.96,18.7
204,1,D,6.32,23,3,0,9,1.02,41.2
205,4,A,6.32,3,3,0,12,1.0,40.7
206,3,E,4.12,16,3,0,9,1.03,31.6
207,5,D,8.49,13,3,0,11,1.0,48.7
208,1,E,8.0,20,3,0,11,1.07,51.3
209,2,D,5.39,12,3,0,11,0.95,35.1
210,4,C,5.39,10,3,0,12,1.09,43.3
211,4,A,6.32,2,3,0,10,0.96,42.5
212,3,E,4.12,20,3,0,5,1.0,28.4
213,3,D,5.39,18,3,0,7,1.29,44.4
214,4,A,6.32,21,3,0,12,1.0,42.7
215,5,B,4.12,13,3,0,12,0.97,36.9
216,3,C,0.0,20,3,0,5,1.04,12.0
217,4,E,8.49,20,3,0,14,1.02,55.5
218,5,C,4.12,22,3,0,7,0.9,29.8
219,3,C,0.0,22,3,0,5,0.9,9.0
220,4,A,6.32,3,3,0,10,1.04,40.8
221,4,B,5.39,12,3,0,12,0.93,37.3
222,5,A,8.0,14,3,0,8,0.89,43.8
223,1,D,6.32,9,3,0,9,1.15,44.0
224,2,A,4.12,19,3,0,10,1.06,32.5
225,5,C,4.12,13,3,0,7,0.91,31.9
226,1,C,8.06,0,3,0,7,1.04,48.9
227,3,A,8.06,11,3,0,8,1.04,45.8
228,4,B,5.39,14,3,0,14,0.99,43.0
229,3,A,8.06,3,3,0,8,0.85,44.9
230,3,E,4.12,14,3,0,8,1.03,30.9
231,1,C,8.06,12,3,0,7,1.05,48.2
232,3,A,8.06,3,3,0,6,0.96,42.8
233,1,C,8.06,12,3,0,11,0.93,46.3
234,2,A,4.12,3,3,0,12,0.98,37.5
235,3,B,4.24,11,3,0,6,0.88,25.7
236,2,A,4.12,15,3,0,9,1.09,34.4
237,4,E,8.49,19,3,0,13,1.19,62.6
238,5,C,4.12,11,3,0,8,0.96,30.1
239,3,E,4.12,20,3,0,5,0.94,24.0
240,4,A,6.32,12,3,0,12,1.06,42.3
241,1,E,8.0,15,4,0,9,0.97,46.9
242,1,E,8.0,12,4,0,11,0.9,47.0
243,5,A,8.0,6,4,0,10,0.88,47.5
244,3,A,8.06,23,4,0,9,1.01,44.8
245,4,E,8.49,23,4,0,14,1.0,53.5
246,3,C,0.0,11,4,0,10,1.0,18.5
247,3,A,8.06,2,4,0,9,1.02,46.9
248,5,C,4.12,21,4,0,7,1.0,27.5
249,3,D,5.39,10,4,0,6,1.0,37.1
250,3,C,0.0,14,4,0,11,0.88,18.9
251,5,D,8.49,4,4,0,11,0.94,48.5
252,2,C,4.24,22,4,0,14,0.97,35.0
253,2,C,4.24,6,4,0,14,1.05,38.4
254,5,E,0.0,20,4,0,7,1.02,16.1
255,5,D,8.49,5,4,0,8,0.89,47.0
256,5,B,4.12,20,4,0,12,0.96,33.7
257,2,E,4.12,22,4,0,10,1.04,35.6
258,2,C,4.24,14,4,0,14,1.05,41.1
259,2,E,4.12,11,4,0,11,0.97,32.0
260,4,D,0.0,13,4,0,11,1.05,19.6
261,2,A,4.12,21,4,0,13,0.97,34.6
262,1,E,8.0,18,4,0,12,0.91,44.7
263,2,E,4.12,9,4,0,9,1.27,33.6
264,2,C,4.24,20,4,0,8,0.95,29.9
265,3,A,8.06,9,4,0,7,0.96,43.2
266,1,C,8.06,20,4,0,12,0.89,44.0
267,4,B,5.39,18,4,0,16,1.2,48.0
268,1,A,0.0,21,4,0,8,0.9,12.0
269,5,A,8.0,13,4,0,13,0.92,47.5
270,1,E,8.0,9,4,0,9,0.88,46.0
271,4,A,6.32,14,4,0,15,0.98,44.5
272,2,A,4.12,10,4,0,12,0.94,34.5
273,2,A,4.12,17,4,0,12,1.34,37.6
274,5,E,0.0,14,4,0,11,0.86,20.1
275,1,C,8.06,16,4,0,8,1.04,47.0
